
===== mudiban.xlsx =====
-- sheet=2019报价 rows=168
R  4 | 项目内容
R226 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴）
R227 | 墙面贴瓷片
R228 | 墙面瓷砖刷背胶
R229 | 墙面瓷片碰角加工
R230 | 勾缝处理
R231 | 防潮石膏板天花
R232 | 顶面基层处理（鸟巢防水腻子）
R233 | 防潮乳胶漆
R234 | 地面防水处理
R235 | 地面防水保护层
R236 | 墙面防水层
R237 [FLOOR_MATCH=['地面保护']] | 地面保护
R238 | 小计
R239 | 露台
R240 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴）
R241 | 围墙墙面贴瓷片
R242 | 墙面瓷砖刷背胶
R243 | 墙面瓷片碰角加工
R244 | 勾缝处理
R245 | 墙面刷外墙漆
R246 | 沉箱架空处理
R247 | 地面自粘防水卷材
R248 | 卷材防水保护层
R249 | 地面防水处理
R250 | 地面防水保护层
R251 | 墙面防水层(300MM高）
R252 | 阳台砌花池
R253 | 花池防水处理
R254 [FLOOR_MATCH=['地面保护']] | 地面保护
R255 | 小计
R256 | 综合
R257 | 电安装（部份改动）
R258 | 开关插座布线
R259 | 电话线
R260 | 电视线
R261 | 光纤线
R262 | 网线
R263 | 音响线
R264 | 液晶电视引线管
R265 | 底盒、面板安装
R266 | 专线(4MM2)
R267 | 专线(6MM2)
R268 | 专线(10MM2)
R269 | 强电箱安装
R270 | 弱电箱安装
R271 | 灯具安装
R272 | 布线开槽
R273 | 小计
R274 | 水安装（部份改动）
R275 | 冷、热给水管（布管）
R276 | 排水管安装
R277 | 排污管安装
R278 | 空调下水管安装
R279 | 总水阀安装
R280 | 小计
R281 | 其它
R282 | 门槛大理石铺贴
R283 | 沉箱架空处理
R284 | 沉箱回填
R285 | 包单排水管
R286 | 包双排水管
R287 | 室内高空作业费
R288 | 地漏安装
R289 | 墙面修补
R290 | 新建门洞(90CM内)
R291 | 中央空调风口加固
R292 | 蹲厕安装
R293 | 淋浴基石安装
R294 | 成品保护
R295 | 墙面防裂网
R296 | 阳台大理石挡水边
R297 | 烟道瓷片防脱落处理
R298 | 拆现浇梁及立柱
R299 | 墙体拆除
R300 [FLOOR_MATCH=['地砖']] | 拆地砖
R301 | 拆墙面瓷片
R302 | 顶面白灰铲除
R303 | 卫生间墙面丙纶打磨
R304 | 砌墙（6分）
R305 | 砌墙（12分）
R306 | 砌墙（24分）
R307 | 墙面批档
R308 | 开荒保洁
R309 | 小计
R310 | 合计
R311 | 直接费
R312 | 以下项目不打折
R313 | 搬运费3.5%
R314 | 建渣清运3%
R315 | 管理费8%
R316 | 设计服务费5%
R317 | 总计
R318 | 税金=（总计*6%）
R319 | 补充报价
R320 | 抽屉及键盘
R321 | 小挂件安装
R322 | 洗手盆安装
R323 | 淋浴安装
R324 | 座厕安装
R325 | 蹲厕安装
R326 | 砌壁龛
R327 | 窗帘盒
R328 | 空调孔开孔
R329 | 开孔
R330 | 悬挂电视位红砖加固
R331 | 中央空调风口加固
R332 | 地暖后整体找平
R333 | 做地暖门洞升高
R334 | 淋浴基石安装
R335 | 顶面白灰铲除
R336 | 成品保护
R337 | 暗装预埋花洒
R338 | 暗装预埋水箱
R339 | 墙面防裂网
R340 | 阳台大理石挡水边
R341 | 烟道瓷片防脱落处理
R342 | 拆构造柱
R343 | 补充说明
R344 [FLOOR_MATCH=['地砖', '地板']] | 业主自购材料：大理石、地砖、瓷片、墙纸及墙布、艺术漆、木地板、灯具、洁具、橱柜及电器、铝扣吊顶、艺术玻璃、定制家具及护墙板、实木雕花、水龙头、门窗及门锁、五金件、开关插座面板、地漏、空调打洞、煤气总闸等
R345 [FLOOR_MATCH=['地砖']] | 贴砖补充说明：墙/地砖铺600*900或600*1200每平米另加16元，750*1500每平米加39元，800*1600每平米加49元，900*1800每平米加59元，菱形铺法每平米另加16元，仿木纹条形砖每平米另加20元，腰线12元/米，拼花铺法每平米另加28元，菱形拼花及小于或等于200*200的地∕墙砖铺贴每平米另加75元。
R346 | 如果您先做预算（指尚未出施工图纸），此报价仅供您参考或作为您与我公司签定合同的参考依据，我公司保留依施工图纸所用材料和加工件复杂系数 ，修订项目单价的权力（具体价格待施工图确定后再定）
R347 | 工程所在地方的房管局审批费用和物业管理处所交一切费用由业主支付；乙方协助提供甲方所需相关资料。施工中如有增减项目，以增减项目变更单为准结算工程款；工程结算时，按实际发生的工程量计算；
